Start time,ID,Matter Emotions,Life Emotions,Thought Emotions,Matter Learning,Life Learning,Thought Learning,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Race,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?,Cubes Emotion Mean,Cubes Learning Mean,Group
2023-09-30 17:47:52,M17,6.0,6.0,6.0,6.0,6.0,6.0,7,5,3,3,6,7,4,7,4,5,3,4,5,1,1,1,1,1,1,1,3,6,Diversidade Cultural ;,Sim,,Não,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Sim,Outro Estado do Brasil,,6.0,6.0,Control
2023-09-30 16:58:48,D03-P056,6.0,8.0,7.0,5.0,6.0,6.0,8,3,1,1,8,8,5,6,4,5,4,3,4,1,1,1,1,1,1,1,5,3,Diversidade Cultural ;,Não,3 ou mais,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Sim,Cidade do Rio,,6.0,5.0,Control
2023-09-30 17:52:11,M19,7.0,6.0,7.0,7.0,7.0,7.0,7,2,1,2,6,6,3,8,2,7,7,7,7,1,1,1,1,1,1,1,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;,Não,1,Sim,2 pessoas,Sim,Sim,31-59 anos,Feminino,Preto,Não,,Não,Cidade do Rio,,7.0,7.0,Control
2023-09-30 17:57:51,M20,7.0,7.0,7.0,5.0,5.0,5.0,7,5,4,3,8,7,6,8,8,4,5,5,7,3,3,3,3,3,3,6,6,7,Biodiversidade;Recursos Naturais ;,Sim,,Sim,Nenhuma,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,,7.0,5.0,Control
2023-09-30 18:08:06,M21,8.0,8.0,8.0,8.0,8.0,8.0,8,1,1,1,8,8,3,8,8,1,1,1,7,1,1,1,1,1,1,7,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Sim,Estado do Rio,Tudo muito lindo,8.0,8.0,Control
2023-09-30 18:36:45,Sdwg,2.0,4.0,5.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,7,5,5,2,4,5,4,4,5,5,4,5,5,Diversidade Cultural ;,Não,2,Sim,2 pessoas,Talvez,Talvez,19-30 anos,Masculino,Branco,Prefiro não informar,,Sim,Outro Estado do Brasil,,2.0,4.0,Control
2023-09-30 18:39:08,M22,8.0,6.0,3.0,8.0,8.0,6.0,8,8,2,2,8,8,2,5,8,7,7,7,6,2,1,1,1,1,1,1,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;,Sim,,Sim,2 pessoas,Sim,Sim,31-59 anos,Feminino,Preto,Não,,Sim,Cidade do Rio,"Parabens Pela educaçao, muito atencioso e cachecol lindo",8.0,8.0,Control
2023-09-30 18:43:35,M23,7.0,6.0,6.0,6.0,6.0,6.0,5,5,5,4,5,6,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,Diversidade Cultural ;,Sim,,Não,1 pessoa,Talvez,Sim,19-30 anos,Masculino,Pardo,Não,,Não,Outro Estado do Brasil,,7.0,6.0,Control
2023-09-30 18:50:57,M24,8.0,8.0,4.0,8.0,7.0,6.0,8,3,1,1,8,8,8,8,8,7,7,7,7,2,1,1,5,1,1,7,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;,Sim,,Não,3 ou mais pessoas,Sim,Sim,Mais de 60 anos,Feminino,Preto,Não,,Sim,Estado do Rio,,8.0,8.0,Control
2023-09-30 20:36:06,R1,4.0,4.0,5.0,3.0,5.0,6.0,4,2,2,1,6,6,2,7,3,4,3,5,5,2,1,1,4,1,2,5,5,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,2 pessoas,Sim,Sim,19-30 anos,Masculino,Pardo,Não,,Não,Cidade do Rio,,4.0,3.0,Control
